Month Name,Month,Year,Query Count,Query Text,Month Num,,,,,,,,,,,
July,,2017,19,quitclaim deed,,21607.5,,,,,,,,,,
July,,2017,19,warrants issued,,21607.5,,,,,,,,,,
July,,2017,19,maternity leave,,21607.5,,,,,,,,,,
August,,2017,19,active inmate search information,,21607.5,,,,,,,,,,
August,,2017,19,vehicle accident,,21607.5,,,,,,,,,,
August,,2017,19,Two rivers,,21607.5,,,,,,,,,,
August,,2017,19,employee service,,21607.5,,,,,,,,,,
August,,2017,19,criminal background check,,21607.5,,,,,,,,,,
August,,2017,19,Employees,,21607.5,,,,,,,,,,
August,,2017,19,Recycle,,21607.5,,,,,,,,,,
August,,2017,19,Inmate,,21607.5,,,,,,,,,,
August,,2017,19,family medical leave act,,21607.5,,,,,,,,,,
August,,2017,19,training,,21607.5,,,,,,,,,,
August,,2017,19,sewer,,21607.5,,,,,,,,,,
August,,2017,19,kiva,,21607.5,,,,,,,,,,
August,,2017,19,Fort Negley,,21607.5,,,,,,,,,,
August,,2017,19,Notary,,21607.5,,,,,,,,,,
August,,2017,19,Recycling,,21607.5,,,,,,,,,,
August,,2017,19,arrest,,21607.5,,,,,,,,,,
August,,2017,19,probate,,21607.5,,,,,,,,,,
August,,2017,19,septic tank,,21607.5,,,,,,,,,,
August,,2017,19,copy birth certificate,,21607.5,,,,,,,,,,
August,,2017,19,urban services district,,21607.5,,,,,,,,,,
August,,2017,19,municode,,21607.5,,,,,,,,,,
August,,2017,19,job opportunities ebid.nashville.gov,,21607.5,,,,,,,,,,
August,,2017,19,golf,,21607.5,,,,,,,,,,
September,,2017,19,general services,,21607.5,,,,,,,,,,
September,,2017,19,inmate,,21607.5,,,,,,,,,,
September,,2017,19,directory,,21607.5,,,,,,,,,,
September,,2017,19,urban zoning overlay,,21607.5,,,,,,,,,,
September,,2017,19,report accident,,21607.5,,,,,,,,,,
September,,2017,19,Marriage,,21607.5,,,,,,,,,,
September,,2017,19,Active inmate,,21607.5,,,,,,,,,,
September,,2017,19,business tax,,21607.5,,,,,,,,,,
September,,2017,19,signs,,21607.5,,,,,,,,,,
September,,2017,19,prostitution,,21607.5,,,,,,,,,,
September,,2017,19,Address,,21607.5,,,,,,,,,,
September,,2017,19,Arrest records,,21607.5,,,,,,,,,,
September,,2017,19,Jail,,21607.5,,,,,,,,,,
September,,2017,19,quit claim,,21607.5,,,,,,,,,,
September,,2017,19,occupancy tax,,21607.5,,,,,,,,,,
September,,2017,19,Login,,21607.5,,,,,,,,,,
September,,2017,19,divorce decree,,21607.5,,,,,,,,,,
October,,2017,19,sidewalk ordinance,,21607.5,,,,,,,,,,
October,,2017,19,Christina grimmer,,21607.5,,,,,,,,,,
October,,2017,19,fire marshall,,21607.5,,,,,,,,,,
October,,2017,19,internship,,21607.5,,,,,,,,,,
October,,2017,19,conservation overlay maps,,21607.5,,,,,,,,,,
October,,2017,19,vendor,,21607.5,,,,,,,,,,
October,,2017,19,free school supplies,,21607.5,,,,,,,,,,
October,,2017,19,service rules,,21607.5,,,,,,,,,,
October,,2017,19,delayed accident report,,21607.5,,,,,,,,,,
October,,2017,19,bellevue,,21607.5,,,,,,,,,,
October,,2017,19,property tax map,,21607.5,,,,,,,,,,
October,,2017,19,403101 marriage license,,21607.5,,,,,,,,,,
October,,2017,19,veterans day,,21607.5,,,,,,,,,,
October,,2017,19,Criminal court,,21607.5,,,,,,,,,,
October,,2017,19,plat,,21607.5,,,,,,,,,,
October,,2017,19,tent permit,,21607.5,,,,,,,,,,
October,,2017,19,metro action commission,,21607.5,,,,,,,,,,
October,,2017,19,job opportunities ebid.nashville.gov voting,,21607.5,,,,,,,,,,
November,,2017,19,fire marshal,,21607.5,,,,,,,,,,
November,,2017,19,inspections,,21607.5,,,,,,,,,,
November,,2017,19,divorce records,,21607.5,,,,,,,,,,
November,,2017,19,DTC,,21607.5,,,,,,,,,,
November,,2017,19,Inmate,,21607.5,,,,,,,,,,
November,,2017,19,open records request,,21607.5,,,,,,,,,,
November,,2017,19,Wic,,21607.5,,,,,,,,,,
November,,2017,19,hotel occupancy privilege tax,,21607.5,,,,,,,,,,
November,,2017,19,nashville fire department,,21607.5,,,,,,,,,,
November,,2017,19,Careers,,21607.5,,,,,,,,,,
November,,2017,19,warrant,,21607.5,,,,,,,,,,
November,,2017,19,demolition,,21607.5,,,,,,,,,,
November,,2017,19,training,,21607.5,,,,,,,,,,
November,,2017,19,travel voucher,,21607.5,,,,,,,,,,
November,,2017,19,contact,,21607.5,,,,,,,,,,
November,,2017,19,Property assessor,,21607.5,,,,,,,,,,
November,,2017,19,Fire department,,21607.5,,,,,,,,,,
November,,2017,19,ordinance,,21607.5,,,,,,,,,,
November,,2017,19,real property,,21607.5,,,,,,,,,,
November,,2017,19,accident,,21607.5,,,,,,,,,,
November,,2017,19,vital records,,21607.5,,,,,,,,,,
December,,2017,19,calculate property tax bill,,21607.5,,,,,,,,,,
December,,2017,19,Traffic,,21607.5,,,,,,,,,,
December,,2017,19,death certificate,,21607.5,,,,,,,,,,
December,,2017,19,file police report,,21607.5,,,,,,,,,,
December,,2017,19,Permit,,21607.5,,,,,,,,,,
December,,2017,19,downtown code,,21607.5,,,,,,,,,,
December,,2017,19,owner/driver report form,,21607.5,,,,,,,,,,
December,,2017,19,directory,,21607.5,,,,,,,,,,
December,,2017,19,employee benefits,,21607.5,,,,,,,,,,
December,,2017,19,Dogs,,21607.5,,,,,,,,,,
December,,2017,19,metro council,,21607.5,,,,,,,,,,
December,,2017,19,feral cats,,21607.5,,,,,,,,,,
December,,2017,19,property search,,21607.5,,,,,,,,,,
December,,2017,19,traffic,,21607.5,,,,,,,,,,
January,,2018,19,Civil Service Rules,,21607.5,,,,,,,,,,
January,,2018,19,tag renewal,,21607.5,,,,,,,,,,
January,,2018,19,notary public,,21607.5,,,,,,,,,,
January,,2018,19,job description,,21607.5,,,,,,,,,,
January,,2018,19,metro arts,,21607.5,,,,,,,,,,
January,,2018,19,mandatory referral,,21607.5,,,,,,,,,,
January,,2018,19,Information Classification policy,,21607.5,,,,,,,,,,
January,,2018,19,tow in lot,,21607.5,,,,,,,,,,
January,,2018,19,Booking,,21607.5,,,,,,,,,,
January,,2018,19,Property map,,21607.5,,,,,,,,,,
January,,2018,19,Hours,,21607.5,,,,,,,,,,
January,,2018,19,street lights,,21607.5,,,,,,,,,,
January,,2018,19,district attorney,,21607.5,,,,,,,,,,
January,,2018,19,DISTRICT 9 POLLS RESULTS,,21607.5,,,,,,,,,,
January,,2018,19,contractor list,,21607.5,,,,,,,,,,
January,,2018,19,pension self service,,21607.5,,,,,,,,,,
January,,2018,19,iod,,21607.5,,,,,,,,,,
January,,2018,19,benifit board,,21607.5,,,,,,,,,,
January,,2018,19,background check,,21607.5,,,,,,,,,,
January,,2018,19,report an accident,,21607.5,,,,,,,,,,
January,,2018,19,Owner driver report,,21607.5,,,,,,,,,,
January,,2018,19,contact metro customer service,,21607.5,,,,,,,,,,
January,,2018,19,marriage divorce,,21607.5,,,,,,,,,,
January,,2018,19,internship opportunities,,21607.5,,,,,,,,,,
January,,2018,19,Assessor of property,,21607.5,,,,,,,,,,
March,,2018,19,Parking,,21607.5,,,,,,,,,,
March,,2018,19,property located,,21607.5,,,,,,,,,,
March,,2018,19,short term rental property strp,,21607.5,,,,,,,,,,
March,,2018,19,metropolitan code,,21607.5,,,,,,,,,,
March,,2018,19,Planning,,21607.5,,,,,,,,,,
March,,2018,19,ebs system,,21607.5,,,,,,,,,,
March,,2018,19,Building permits,,21607.5,,,,,,,,,,
March,,2018,19,occupancy tax,,21607.5,,,,,,,,,,
March,,2018,19,Damon page,,21607.5,,,,,,,,,,
March,,2018,19,fingerprinting,,21607.5,,,,,,,,,,
March,,2018,19,tag renewal,,21607.5,,,,,,,,,,
March,,2018,19,Dcso,,21607.5,,,,,,,,,,
March,,2018,19,Property maps,,21607.5,,,,,,,,,,
March,,2018,19,rental property strp,,21607.5,,,,,,,,,,
March,,2018,19,construction demolition,,21607.5,,,,,,,,,,
April,,2018,19,nashville public library,,21607.5,,,,,,,,,,
April,,2018,19,pay water bill,,21607.5,,,,,,,,,,
April,,2018,19,email address,,21607.5,,,,,,,,,,
April,,2018,19,naza program,,21607.5,,,,,,,,,,
April,,2018,19,Search Nashville.gov,,21607.5,,,,,,,,,,
April,,2018,19,mugshot,,21607.5,,,,,,,,,,
April,,2018,19,inmate,,21607.5,,,,,,,,,,
April,,2018,19,auction,,21607.5,,,,,,,,,,
April,,2018,19,Transit,,21607.5,,,,,,,,,,
April,,2018,19,Alarm,,21607.5,,,,,,,,,,
April,,2018,19,court records,,21607.5,,,,,,,,,,
April,,2018,19,Passport,,21607.5,,,,,,,,,,
April,,2018,19,warrant search,,21607.5,,,,,,,,,,
April,,2018,19,immigrants,,21607.5,,,,,,,,,,
April,,2018,19,stormwater management committee,,21607.5,,,,,,,,,,
April,,2018,19,social services,,21607.5,,,,,,,,,,
April,,2018,19,property records,,21607.5,,,,,,,,,,
April,,2018,19,interactive maps,,21607.5,,,,,,,,,,
April,,2018,19,Vote,,21607.5,,,,,,,,,,
April,,2018,19,nashville health department,,21607.5,,,,,,,,,,
April,,2018,19,Marriage license,,21607.5,,,,,,,,,,
May,,2018,19,travel authorization,,21607.5,,,,,,,,,,
May,,2018,19,swimming pools,,21607.5,,,,,,,,,,
May,,2018,19,Auction,,21607.5,,,,,,,,,,
May,,2018,19,building codes,,21607.5,,,,,,,,,,
May,,2018,19,short term rentals,,21607.5,,,,,,,,,,
May,,2018,19,training,,21607.5,,,,,,,,,,
May,,2018,19,open range employees,,21607.5,,,,,,,,,,
May,,2018,19,delayed accident report,,21607.5,,,,,,,,,,
May,,2018,19,job,,21607.5,,,,,,,,,,
May,,2018,19,emissions,,21607.5,,,,,,,,,,
May,,2018,19,staff directory,,21607.5,,,,,,,,,,
May,,2018,19,food truck,,21607.5,,,,,,,,,,
May,,2018,19,MNPS,,21607.5,,,,,,,,,,
May,,2018,19,Kelly Ann Lewis,,21607.5,,,,,,,,,,
May,,2018,19,airbnb,,21607.5,,,,,,,,,,
May,,2018,19,crime map,,21607.5,,,,,,,,,,
May,,2018,19,signs,,21607.5,,,,,,,,,,
May,,2018,19,job description,,21607.5,,,,,,,,,,
May,,2018,19,trespass waiver,,21607.5,,,,,,,,,,
May,,2018,19,property records,,21607.5,,,,,,,,,,
May,,2018,19,Hours,,21607.5,,,,,,,,,,
May,,2018,19,etemadi,,21607.5,,,,,,,,,,
May,,2018,19,mnpd,,21607.5,,,,,,,,,,
June,,2018,19,vacation,,21607.5,,,,,,,,,,
June,,2018,19,motor vehicle,,21607.5,,,,,,,,,,
June,,2018,19,Parks,,21607.5,,,,,,,,,,
June,,2018,19,traffic tickets,,21607.5,,,,,,,,,,
June,,2018,19,passport,,21607.5,,,,,,,,,,
June,,2018,19,low voltage,,21607.5,,,,,,,,,,
June,,2018,19,substance abuse,,21607.5,,,,,,,,,,
June,,2018,19,open data portal,,21607.5,,,,,,,,,,
June,,2018,19,alarm system,,21607.5,,,,,,,,,,
June,,2018,19,short term rental permits,,21607.5,,,,,,,,,,
June,,2018,19,davidson county,,21607.5,,,,,,,,,,
June,,2018,19,council meeting,,21607.5,,,,,,,,,,
June,,2018,19,short term rental permit,,21607.5,,,,,,,,,,
June,,2018,19,Property assessor,,21607.5,,,,,,,,,,
June,,2018,19,pay bill,,21607.5,,,,,,,,,,
June,,2018,19,tree removal permit,,21607.5,,,,,,,,,,
June,,2018,19,permit applications,,21607.5,,,,,,,,,,
June,,2018,19,name change,,21607.5,,,,,,,,,,
June,,2018,19,minutes,,21607.5,,,,,,,,,,
June,,2018,19,Property Maps,,21607.5,,,,,,,,,,
June,,2018,19,civil service policies,,21607.5,,,,,,,,,,
June,,2018,19,Marriage,,21607.5,,,,,,,,,,
June,,2018,19,Parcels,,21607.5,,,,,,,,,,
June,,2018,19,sheriff's office,,21607.5,,,,,,,,,,
July,,2018,19,accident report form,,21607.5,,,,,,,,,,
July,,2018,19,hub,,21607.5,,,,,,,,,,
July,,2018,19,Permit,,21607.5,,,,,,,,,,
July,,2018,19,Email,,21607.5,,,,,,,,,,
July,,2018,19,Property tax,,21607.5,,,,,,,,,,
July,,2018,19,zoning code,,21607.5,,,,,,,,,,
July,,2018,19,ordinance,,21607.5,,,,,,,,,,
July,,2018,19,vital records,,21607.5,,,,,,,,,,
July,,2018,19,parthenon,,21607.5,,,,,,,,,,
July,,2018,19,code,,21607.5,,,,,,,,,,
July,,2018,19,Personnel,,21607.5,,,,,,,,,,
July,,2018,19,setbacks,,21607.5,,,,,,,,,,
July,,2018,19,25 case,,21607.5,,,,,,,,,,
July,,2018,19,map parcel owner,,21607.5,,,,,,,,,,
July,,2018,19,warrants issued,,21607.5,,,,,,,,,,
July,,2018,19,directory,,21607.5,,,,,,,,,,
July,,2018,19,bza,,21607.5,,,,,,,,,,
August,,2018,19,map parcel owner,,21607.5,,,,,,,,,,
August,,2018,19,rental assistance,,21607.5,,,,,,,,,,
August,,2018,19,curbside recycling,,21607.5,,,,,,,,,,
August,,2018,19,phone number,,21607.5,,,,,,,,,,
August,,2018,19,contact,,21607.5,,,,,,,,,,
August,,2018,19,citizen police academy,,21607.5,,,,,,,,,,
August,,2018,19,nashville election commission,,21607.5,,,,,,,,,,
August,,2018,19,council district map,,21607.5,,,,,,,,,,
August,,2018,19,inspections,,21607.5,,,,,,,,,,
August,,2018,19,trash,,21607.5,,,,,,,,,,
August,,2018,19,health insurance,,21607.5,,,,,,,,,,
August,,2018,19,Pay bill,,21607.5,,,,,,,,,,
August,,2018,19,epermit,,21607.5,,,,,,,,,,
August,,2018,19,recycle,,21607.5,,,,,,,,,,
August,,2018,19,metro council members district,,21607.5,,,,,,,,,,
August,,2018,19,tuition reimbursement,,21607.5,,,,,,,,,,
August,,2018,19,accident,,21607.5,,,,,,,,,,
August,,2018,19,eviction notice,,21607.5,,,,,,,,,,
August,,2018,19,first day of school,,21607.5,,,,,,,,,,
August,,2018,19,emissions,,21607.5,,,,,,,,,,
August,,2018,19,benefits consultant,,21607.5,,,,,,,,,,
September,,2018,19,brush pickup,,21607.5,,,,,,,,,,
September,,2018,19,landlord registration,,21607.5,,,,,,,,,,
September,,2018,19,street lights,,21607.5,,,,,,,,,,
September,,2018,19,trash recycling,,21607.5,,,,,,,,,,
September,,2018,19,open range,,21607.5,,,,,,,,,,
September,,2018,19,insurance,,21607.5,,,,,,,,,,
September,,2018,19,internships,,21607.5,,,,,,,,,,
September,,2018,19,permit process,,21607.5,,,,,,,,,,
September,,2018,19,Wic,,21607.5,,,,,,,,,,
September,,2018,19,tax assessor,,21607.5,,,,,,,,,,
September,,2018,19,absentee ballot,,21607.5,,,,,,,,,,
September,,2018,19,property map,,21607.5,,,,,,,,,,
September,,2018,19,criminal background check,,21607.5,,,,,,,,,,
September,,2018,19,Carlos Watkins,,21607.5,,,,,,,,,,
September,,2018,19,Early voting,,21607.5,,,,,,,,,,
September,,2018,19,court clerk,,21607.5,,,,,,,,,,
October,,2018,19,charter metropolitan government nashville,,21607.5,,,,,,,,,,
October,,2018,19,food truck,,21607.5,,,,,,,,,,
October,,2018,19,historical commission,,21607.5,,,,,,,,,,
October,,2018,19,holiday,,21607.5,,,,,,,,,,
October,,2018,19,Flu shot,,21607.5,,,,,,,,,,
October,,2018,19,Metro water services salaries,,21607.5,,,,,,,,,,
October,,2018,19,Parcel viewer,,21607.5,,,,,,,,,,
October,,2018,19,Inmate,,21607.5,,,,,,,,,,
October,,2018,19,district,,21607.5,,,,,,,,,,
October,,2018,19,traffic accidents,,21607.5,,,,,,,,,,
October,,2018,19,notary commission,,21607.5,,,,,,,,,,
October,,2018,19,Arrests,,21607.5,,,,,,,,,,
October,,2018,19,meter permit,,21607.5,,,,,,,,,,
October,,2018,19,council district map,,21607.5,,,,,,,,,,
October,,2018,19,public records request,,21607.5,,,,,,,,,,
October,,2018,19,Ballot,,21607.5,,,,,,,,,,
October,,2018,19,email,,21607.5,,,,,,,,,,
October,,2018,19,epermit,,21607.5,,,,,,,,,,
October,,2018,19,Property search,,21607.5,,,,,,,,,,
October,,2018,19,traffic ticket,,21607.5,,,,,,,,,,
October,,2018,19,insurance,,21607.5,,,,,,,,,,
October,,2018,19,nutrition site monitor,,21607.5,,,,,,,,,,
November,,2018,19,longevity check,,21607.5,,,,,,,,,,
November,,2018,19,davidson county,,21607.5,,,,,,,,,,
November,,2018,19,Epermits,,21607.5,,,,,,,,,,
November,,2018,19,Parthenon,,21607.5,,,,,,,,,,
November,,2018,19,trash,,21607.5,,,,,,,,,,
November,,2018,19,holiday schedule,,21607.5,,,,,,,,,,
November,,2018,19,ESS,,21607.5,,,,,,,,,,
November,,2018,19,convenience centers,,21607.5,,,,,,,,,,
November,,2018,19,Harding place metro,,21607.5,,,,,,,,,,
November,,2018,19,negotiation,,21607.5,,,,,,,,,,
November,,2018,19,scooter,,21607.5,,,,,,,,,,
November,,2018,19,code enforcement,,21607.5,,,,,,,,,,
November,,2018,19,annual report,,21607.5,,,,,,,,,,
November,,2018,19,delayed accident report,,21607.5,,,,,,,,,,
November,,2018,19,centennial park,,21607.5,,,,,,,,,,
November,,2018,19,Open data,,21607.5,,,,,,,,,,
November,,2018,19,Pay scale,,21607.5,,,,,,,,,,
November,,2018,19,property search,,21607.5,,,,,,,,,,
November,,2018,19,Bobby v summers,,21607.5,,,,,,,,,,
November,,2018,19,auction,,21607.5,,,,,,,,,,
November,,2018,19,vacation time,,21607.5,,,,,,,,,,
November,,2018,19,Public works,,21607.5,,,,,,,,,,
January,1,2019,19,Certificate of occupancy,,21607.5,,,,,,,,,,
January,1,2019,19,Arrest,,21607.5,,,,,,,,,,
January,1,2019,19,bid,,21607.5,,,,,,,,,,
January,1,2019,19,drivers license,,21607.5,,,,,,,,,,
January,1,2019,19,alarm permit,,21607.5,,,,,,,,,,
January,1,2019,19,metro action,,21607.5,,,,,,,,,,
January,1,2019,19,budget,,21607.5,,,,,,,,,,
January,1,2019,19,job,,21607.5,,,,,,,,,,
January,1,2019,19,water services,,21607.5,,,,,,,,,,
January,1,2019,19,sevier park,,21607.5,,,,,,,,,,
January,1,2019,19,Opportunity now program assistant,,21607.5,,,,,,,,,,
January,1,2019,19,log in,,21607.5,,,,,,,,,,
January,1,2019,19,music city center,,21607.5,,,,,,,,,,
January,1,2019,19,holiday,,21607.5,,,,,,,,,,
January,1,2019,19,bond,,21607.5,,,,,,,,,,
February,2,2019,19,pay,,21607.5,,,,,,,,,,
February,2,2019,19,traffic,,21607.5,,,,,,,,,,
February,2,2019,19,bereavement,,21607.5,,,,,,,,,,
February,2,2019,19,im,,21607.5,,,,,,,,,,
February,2,2019,19,zoning map,,21607.5,,,,,,,,,,
February,2,2019,19,amazon,,21607.5,,,,,,,,,,
February,2,2019,19,Report,,21607.5,,,,,,,,,,
February,2,2019,19,Fire,,21607.5,,,,,,,,,,
February,2,2019,19,trash pick up,,21607.5,,,,,,,,,,
February,2,2019,19,traffic tickets,,21607.5,,,,,,,,,,
February,2,2019,19,HOLIDAY,,21607.5,,,,,,,,,,
February,2,2019,19,General sessions,,21607.5,,,,,,,,,,
March,3,2019,19,pothole,,21607.5,,,,,,,,,,
March,3,2019,19,Bulk pickup,,21607.5,,,,,,,,,,
March,3,2019,19,general sessions court,,21607.5,,,,,,,,,,
March,3,2019,19,arrest,,21607.5,,,,,,,,,,
March,3,2019,19,food truck,,21607.5,,,,,,,,,,
March,3,2019,19,Mugshot,,21607.5,,,,,,,,,,
March,3,2019,19,civil service commission,,21607.5,,,,,,,,,,
March,3,2019,19,traffic accidents,,21607.5,,,,,,,,,,
March,3,2019,19,hubNashville,,21607.5,,,,,,,,,,
March,3,2019,19,parks and recreation,,21607.5,,,,,,,,,,
March,3,2019,19,staff directory,,21607.5,,,,,,,,,,
March,3,2019,19,STD,,21607.5,,,,,,,,,,
April,4,2019,19,Bulk item pick up,,21607.5,,,,,,,,,,
April,4,2019,19,crime,,21607.5,,,,,,,,,,
April,4,2019,19,FMLA,,21607.5,,,,,,,,,,
April,4,2019,19,Summer program,,21607.5,,,,,,,,,,
April,4,2019,19,sign permit,,21607.5,,,,,,,,,,
April,4,2019,19,Deeds,,21607.5,,,,,,,,,,
April,4,2019,19,brush pick up,,21607.5,,,,,,,,,,
April,4,2019,19,Address,,21607.5,,,,,,,,,,
April,4,2019,19,Report accident,,21607.5,,,,,,,,,,
April,4,2019,19,STRP,,21607.5,,,,,,,,,,
April,4,2019,19,annual enrollment,,21607.5,,,,,,,,,,
April,4,2019,19,holiday,,21607.5,,,,,,,,,,
May,5,2019,19,summer camps,,21607.5,,,,,,,,,,
May,5,2019,19,ordinance,,21607.5,,,,,,,,,,
May,5,2019,19,fences,,21607.5,,,,,,,,,,
May,5,2019,19,court records,,21607.5,,,,,,,,,,
May,5,2019,19,2020 budget,,21607.5,,,,,,,,,,
May,5,2019,19,report accident,,21607.5,,,,,,,,,,
May,5,2019,19,Pothole repair,,21607.5,,,,,,,,,,
May,5,2019,19,contact,,21607.5,,,,,,,,,,
May,5,2019,19,Purchasing,,21607.5,,,,,,,,,,
May,5,2019,19,Std testing,,21607.5,,,,,,,,,,
May,5,2019,19,Community Oversight board,,21607.5,,,,,,,,,,
May,5,2019,19,zoning code,,21607.5,,,,,,,,,,
May,5,2019,19,notary public,,21607.5,,,,,,,,,,
May,5,2019,19,mapping,,21607.5,,,,,,,,,,
May,5,2019,19,hermitage community center,,21607.5,,,,,,,,,,
May,5,2019,19,Nashville,,21607.5,,,,,,,,,,
May,5,2019,19,Jury duty,,21607.5,,,,,,,,,,
May,5,2019,19,tickets,,21607.5,,,,,,,,,,
May,5,2019,19,criminal court,,21607.5,,,,,,,,,,
May,5,2019,19,fire,,21607.5,,,,,,,,,,
May,5,2019,19,retirement,,21607.5,,,,,,,,,,
May,5,2019,19,Crime map,,21607.5,,,,,,,,,,
June,6,2019,19,Shelby park,,21607.5,,,,,,,,,,
June,6,2019,19,name change,,21607.5,,,,,,,,,,
June,6,2019,19,application,,21607.5,,,,,,,,,,
June,6,2019,19,bao,,21607.5,,,,,,,,,,
June,6,2019,19,archives,,21607.5,,,,,,,,,,
June,6,2019,19,charter,,21607.5,,,,,,,,,,
June,6,2019,19,county clerk,,21607.5,,,,,,,,,,
June,6,2019,19,get new car title,,21607.5,,,,,,,,,,
June,6,2019,19,Nashville,,21607.5,,,,,,,,,,
June,6,2019,19,2020 pay plan,,21607.5,,,,,,,,,,
June,6,2019,19,short term rentals,,21607.5,,,,,,,,,,
June,6,2019,19,fire department,,21607.5,,,,,,,,,,
June,6,2019,19,collections,,21607.5,,,,,,,,,,
July,7,2019,19,civil service commission,,21607.5,,,,,,,,,,
July,7,2019,19,business tax license,,21607.5,,,,,,,,,,
July,7,2019,19,Bl2019-1659,,21607.5,,,,,,,,,,
July,7,2019,19,banner,,21607.5,,,,,,,,,,
July,7,2019,19,fire marshal,,21607.5,,,,,,,,,,
July,7,2019,19,fire department,,21607.5,,,,,,,,,,
July,7,2019,19,dog pound,,21607.5,,,,,,,,,,
July,7,2019,19,crossing guard,,21607.5,,,,,,,,,,
July,7,2019,19,hub,,21607.5,,,,,,,,,,
July,7,2019,19,road closures,,21607.5,,,,,,,,,,
July,7,2019,19,metro parks,,21607.5,,,,,,,,,,
July,7,2019,19,metro action,,21607.5,,,,,,,,,,
July,7,2019,19,open bids,,21607.5,,,,,,,,,,
July,7,2019,19,vote,,21607.5,,,,,,,,,,
August,8,2019,19,arrest record,,21607.5,,,,,,,,,,
August,8,2019,19,benefit board,,21607.5,,,,,,,,,,
August,8,2019,19,Alarm registration,,21607.5,,,,,,,,,,
August,8,2019,19,CENTENNIAL PARK,,21607.5,,,,,,,,,,
August,8,2019,19,car accident report,,21607.5,,,,,,,,,,
August,8,2019,19,farmers market,,21607.5,,,,,,,,,,
August,8,2019,19,education,,21607.5,,,,,,,,,,
August,8,2019,19,drug task force,,21607.5,,,,,,,,,,
August,8,2019,19,Drivers license,,21607.5,,,,,,,,,,
August,8,2019,19,deeds,,21607.5,,,,,,,,,,
August,8,2019,19,Dental,,21607.5,,,,,,,,,,
August,8,2019,19,metro parks,,21607.5,,,,,,,,,,
August,8,2019,19,music city center,,21607.5,,,,,,,,,,
August,8,2019,19,runoff election,,21607.5,,,,,,,,,,
August,8,2019,19,solid waste,,21607.5,,,,,,,,,,
August,8,2019,19,sex offenders,,21607.5,,,,,,,,,,
August,8,2019,19,Search Nashville.gov,,21607.5,,,,,,,,,,
August,8,2019,19,summer programs,,21607.5,,,,,,,,,,
August,8,2019,19,wanted,,21607.5,,,,,,,,,,
September,9,2019,19,building code,,21607.5,,,,,,,,,,
September,9,2019,19,bza,,21607.5,,,,,,,,,,
September,9,2019,19,assessor,,21607.5,,,,,,,,,,
September,9,2019,19,fingerprint,,21607.5,,,,,,,,,,
September,9,2019,19,Epermits,,21607.5,,,,,,,,,,
September,9,2019,19,jury duty,,21607.5,,,,,,,,,,
September,9,2019,19,sign permit,,21607.5,,,,,,,,,,
September,9,2019,19,parking,,21607.5,,,,,,,,,,
September,9,2019,19,plumbing permits,,21607.5,,,,,,,,,,
September,9,2019,19,MDHA,,21607.5,,,,,,,,,,
September,9,2019,19,Traffic court,,21607.5,,,,,,,,,,
September,9,2019,19,warrant search,,21607.5,,,,,,,,,,
October,10,2019,19,banner,,21607.5,,,,,,,,,,
October,10,2019,19,Court,,21607.5,,,,,,,,,,
October,10,2019,19,council members,,21607.5,,,,,,,,,,
October,10,2019,19,contract search,,21607.5,,,,,,,,,,
October,10,2019,19,Bulk,,21607.5,,,,,,,,,,
October,10,2019,19,bulk item pick up,,21607.5,,,,,,,,,,
October,10,2019,19,handicapped parking permit,,21607.5,,,,,,,,,,
October,10,2019,19,halloween,,21607.5,,,,,,,,,,
October,10,2019,19,hpr,,21607.5,,,,,,,,,,
October,10,2019,19,login,,21607.5,,,,,,,,,,
October,10,2019,19,divorce records,,21607.5,,,,,,,,,,
October,10,2019,19,DMV,,21607.5,,,,,,,,,,
October,10,2019,19,Media release,,21607.5,,,,,,,,,,
October,10,2019,19,open bids,,21607.5,,,,,,,,,,
October,10,2019,19,recycle locations,,21607.5,,,,,,,,,,
October,10,2019,19,self service,,21607.5,,,,,,,,,,
October,10,2019,19,vital records,,21607.5,,,,,,,,,,
October,10,2019,19,water quality,,21607.5,,,,,,,,,,
October,10,2019,19,trash pick up,,21607.5,,,,,,,,,,
October,10,2019,19,strp,,21607.5,,,,,,,,,,
November,11,2019,19,data,,21607.5,,,,,,,,,,
November,11,2019,19,criminal records,,21607.5,,,,,,,,,,
November,11,2019,19,crime,,21607.5,,,,,,,,,,
November,11,2019,19,copy of GED,,21607.5,,,,,,,,,,
November,11,2019,19,chicken permit,,21607.5,,,,,,,,,,
November,11,2019,19,bond,,21607.5,,,,,,,,,,
November,11,2019,19,Health Department,,21607.5,,,,,,,,,,
November,11,2019,19,judges,,21607.5,,,,,,,,,,
November,11,2019,19,General Sessions Court,,21607.5,,,,,,,,,,
November,11,2019,19,Opportunity now,,21607.5,,,,,,,,,,
November,11,2019,19,Parcel Viewer,,21607.5,,,,,,,,,,
November,11,2019,19,Name change,,21607.5,,,,,,,,,,
November,11,2019,19,office closed,,21607.5,,,,,,,,,,
November,11,2019,19,map,,21607.5,,,,,,,,,,
November,11,2019,19,pay property tax,,21607.5,,,,,,,,,,
November,11,2019,19,self service,,21607.5,,,,,,,,,,
November,11,2019,19,recycle locations,,21607.5,,,,,,,,,,
December,12,2019,19,Barry inauguration,,21607.5,,,,,,,,,,
December,12,2019,19,bulk item pickup,,21607.5,,,,,,,,,,
December,12,2019,19,2nd chance,,21607.5,,,,,,,,,,
